TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,WeightKg,BMI,Fat,TotalActiveMinutes,ActivityRatio,VeryActiveRatio,SedentaryPercentage,ActivitySleepRatio,StepsPerActiveMinute,CaloriesPerStep
12770,8.13000011444092,8.13000011444092,0.0,2.55999994277954,1.00999999046326,4.55000019073486,0.0,36,23,251,669,1783,1.0,285.0,306.0,62.5,24.3899993896484,23.5,310,0.3163265306122449,0.1157556270096463,0.46458333333333335,1.083916083916084,41.061093247588424,0.13961318612481402
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1.0,433.0,463.0,62.5,24.3899993896484,23.5,0,0.0,0.0,1.0,0.0,0.0,0.0
8163,5.30999994277954,5.30999994277954,0.0,0.0,0.0,5.30999994277954,0.0,0,0,146,1294,1432,1.0,433.0,463.0,62.5,24.3899993896484,23.5,146,0.10131852879944483,0.0,0.8986111111111111,0.33640552995391704,55.53061224489796,0.17540421362077413
7007,4.55000019073486,4.55000019073486,0.0,0.0,0.0,4.55000019073486,0.0,0,0,148,1292,1411,1.0,433.0,463.0,62.5,24.3899993896484,23.5,148,0.10270645385149202,0.0,0.8972222222222223,0.34101382488479265,47.02684563758389,0.20134132420091325
9107,5.92000007629395,5.92000007629395,0.0,0.0,0.0,5.90999984741211,0.0099999997764825,0,0,236,1204,1572,1.0,433.0,463.0,62.5,24.3899993896484,23.5,236,0.16377515614156835,0.0,0.8361111111111111,0.543778801843318,38.426160337552744,0.1725955204216074
1510,0.980000019073486,0.980000019073486,0.0,0.0,0.0,0.970000028610229,0.0,0,0,96,1344,1344,1.0,433.0,463.0,62.5,24.3899993896484,23.5,96,0.06662040249826509,0.0,0.9333333333333333,0.22119815668202766,15.56701030927835,0.8894771674387822
5370,3.49000000953674,3.49000000953674,0.0,0.0,0.0,3.49000000953674,0.0,0,0,176,1264,1463,1.0,433.0,463.0,62.5,24.3899993896484,23.5,176,0.12213740458015267,0.0,0.8777777777777778,0.4055299539170507,30.338983050847457,0.27238875442189536
6175,4.05999994277954,4.05999994277954,0.0,1.02999997138977,1.51999998092651,1.49000000953674,0.0099999997764825,15,22,127,1276,1554,1.0,433.0,463.0,62.5,24.3899993896484,23.5,164,0.11380985426786953,0.09090909090909091,0.8861111111111111,0.3778801843317972,37.42424242424242,0.25161917098445596
10536,7.40999984741211,7.40999984741211,0.0,2.15000009536743,0.620000004768372,4.61999988555908,0.0099999997764825,17,7,202,1214,1604,1.0,433.0,463.0,62.5,24.3899993896484,23.5,226,0.1568355308813324,0.07488986784140969,0.8430555555555556,0.5207373271889401,46.414096916299556,0.1522254911265066
2916,1.89999997615814,1.89999997615814,0.0,0.0,0.0,1.89999997615814,0.0,0,0,141,1299,1435,1.0,433.0,463.0,62.5,24.3899993896484,23.5,141,0.09784871616932686,0.0,0.9020833333333333,0.3248847926267281,20.535211267605632,0.49194377785395954
4974,3.23000001907349,3.23000001907349,0.0,0.0,0.0,3.23000001907349,0.0,0,0,151,1289,1446,1.0,433.0,463.0,62.5,24.3899993896484,23.5,151,0.10478834142956281,0.0,0.8951388888888889,0.347926267281106,32.723684210526315,0.2906532663316583
6349,4.13000011444092,4.13000011444092,0.0,0.0,0.0,4.1100001335144,0.0199999995529652,0,0,186,1254,1467,1.0,433.0,463.0,62.5,24.3899993896484,23.5,186,0.12907702984038863,0.0,0.8708333333333333,0.42857142857142855,33.95187165775401,0.23102362204724408
4026,2.61999988555908,2.61999988555908,0.0,0.0,0.0,2.59999990463257,0.0,0,0,199,1241,1470,1.0,433.0,463.0,62.5,24.3899993896484,23.5,199,0.13809854267869534,0.0,0.8618055555555556,0.45852534562211983,20.13,0.3650360069530668
8538,5.55000019073486,5.55000019073486,0.0,0.0,0.0,5.53999996185303,0.0099999997764825,0,0,227,1213,1562,1.0,433.0,463.0,62.5,24.3899993896484,23.5,227,0.157529493407356,0.0,0.8423611111111111,0.5230414746543779,37.44736842105263,0.18292540110083147
6076,3.95000004768372,3.95000004768372,0.0,1.14999997615814,0.910000026226044,1.88999998569489,0.0,16,18,185,1221,1617,1.0,433.0,463.0,62.5,24.3899993896484,23.5,219,0.15197779319916724,0.07272727272727272,0.8479166666666667,0.5046082949308756,27.618181818181817,0.266085239427349
6497,4.21999979019165,4.21999979019165,0.0,0.0,0.0,4.19999980926514,0.0199999995529652,0,0,202,1238,1492,1.0,433.0,463.0,62.5,24.3899993896484,23.5,202,0.14018043025676613,0.0,0.8597222222222223,0.46543778801843316,32.004926108374384,0.2296091104955371
2826,1.8400000333786,1.8400000333786,0.0,0.0,0.0,1.83000004291534,0.0099999997764825,0,0,140,1300,1402,1.0,433.0,463.0,62.5,24.3899993896484,23.5,140,0.09715475364330327,0.0,0.9027777777777778,0.3225806451612903,20.04255319148936,0.4959320834807216
